date,word,jumbles
2022-03-02 02:40:00,sign,"['sing', 'gins']"
2022-03-02 02:40:00,mad,['dam']
2022-03-02 02:40:00,map,"['amp', 'pam']"
2022-03-02 02:40:00,maps,['spam']
2022-03-02 02:40:00,spasm,['spams']
2022-03-02 02:40:00,binder,['inbred']
2022-03-02 02:40:00,poos,['oops']
2022-03-02 02:40:00,pees,['seep']
2022-03-02 02:40:00,note,['tone']
2022-03-02 02:40:00,pool,['loop']
2022-03-02 02:40:00,slap,"['lasp', 'pals', 'alps']"
2022-03-02 02:40:00,pantser,"['parents', 'entraps']"
2022-03-02 02:40:00,earth,"['heart', 'hater']"
2022-03-02 02:40:00,sole,['lose']
2022-03-02 02:40:00,evil,"['live', 'veil']"
2022-03-02 02:40:00,listen,"['silent', 'tinsel', 'enlist']"
2022-03-02 02:40:00,bad,['dab']
2022-03-04 12:56:00,awry,['wary']
2022-03-04 12:56:00,loaf,"['foal', 'olaf (second one credits to supershammy)']"
2022-03-04 12:56:00,lap,['pal']
2022-03-05 03:48:00,lashes,['hassle']
2022-03-05 03:48:00,thorsen,"['thrones', 'hornets', 'shorten']"
2022-03-06 12:54:00,time,"['emit', 'mite', 'item']"
2022-03-06 12:54:00,times,"['items', 'smite', 'emits', 'mites']"
2022-03-06 12:54:00,game,"['mega', 'mage']"
2022-03-06 12:54:00,small,['malls']
2022-03-06 12:54:00,tool,['loot']
2022-03-06 12:54:00,tools,['stool']
2022-03-06 12:54:00,scum,['cums']
2022-03-07 13:20:00,night,['thing']
2022-03-07 13:20:00,reap,['pear']
2022-03-07 13:20:00,scar,"['cars', 'arcs']"
2022-03-07 13:20:00,princes,"['pincers', 'crispen']"
2022-03-07 13:20:00,war,['raw']
2022-03-07 13:20:00,miss,['sims']
2022-03-07 13:20:00,are,"['era', 'ear']"
2022-03-07 13:20:00,ryan,['yarn']
2022-03-07 13:20:00,read,"['dear', 'dare']"
2022-03-08 12:24:00,splurge,['gulpers']
2022-03-08 12:24:00,plug,['gulp']
2022-03-08 12:24:00,expels,['plexes']
2022-03-08 12:24:00,tab,['bat']
2022-03-08 12:24:00,tabs,"['stab', 'bats']"
2022-03-08 12:24:00,beads,['based']
2022-03-08 12:24:00,bears,"['bares', 'saber', 'baser']"
2022-03-08 12:24:00,silver,"['livers', 'sliver']"
2022-03-08 12:24:00,cold,['clod']
2022-03-08 12:24:00,clods,['scold']
2022-03-08 12:24:00,ruse,"['sure', 'rues', 'user']"
2022-03-08 12:24:00,seal,['sale']
2022-03-08 12:24:00,ripens,"['sniper', 'repins']"
2022-03-08 12:24:00,prism,['prims']
2022-03-08 12:24:00,not,['ton']
2022-03-08 12:24:00,tons,['snot']
2022-03-08 12:24:00,licks,['slick']
2022-03-08 12:24:00,lays,['slay']
2022-03-08 12:24:00,heirs,"['hires', 'shire', 'shier']"
2022-03-08 12:24:00,must,['smut']
2022-03-08 12:24:00,quite,['quiet']
2022-03-08 12:24:00,start,"['strat', 'tarts']"
2022-03-08 12:24:00,great,"['grate', 'retag']"
2022-03-08 12:24:00,coat,['taco']
2022-03-08 12:24:00,north,['thorn']
2022-03-08 12:24:00,south,['shout']
2022-03-08 12:24:00,east,"['seat', 'tase', 'eats']"
2022-03-08 12:24:00,west,"['stew', 'wets']"
2022-03-08 12:24:00,trail,['trial']
2022-03-08 12:24:00,straw,['warts']
2022-03-08 12:24:00,smug,"['gums', 'mugs']"
